t,p2,p5,p8,p2-det,p5-det,p8-det,gap2,gap5,gap8
25,771.858,993.731,1180.54,771.858,1000.49,1236.62,0,0.680163948,4.750368475
25,737.397,996.541,1214.82,740.584,1011.61,1276.53,0.432195954,1.512130459,5.079764903
25,808.964,1065.95,1265.53,810.442,1085.48,1357.29,0.182702815,1.832168488,7.250717091
25,817.289,1064.67,1276.6,813.356,1091.29,1370.19,0.481225124,2.500305259,7.331192229
25,757.393,984.698,1178.88,769.438,1028.07,1286.31,1.59032365,4.404599177,9.112886808
25,810.309,1024.78,1206.12,813.782,1047.3,1282.55,0.428601928,2.197544839,6.336848738
25,803.037,1050.41,1260.48,802.945,1068.28,1339.01,0.011456508,1.701240468,6.230166286
25,802.163,1041.17,1253.25,806.035,1070.7,1340.73,0.482694914,2.836232316,6.980251346
25,785.83,1007.9,1215.25,785.633,1030.72,1281.26,0.025069035,2.264113503,5.431804156
25,769.407,1028.6,1242.22,773.905,1044.84,1311.48,0.584606067,1.578845032,5.575501924
50,1490.18,1979.27,2364.01,1487.81,2058.89,2622.11,0.15904119,4.022695236,10.91788952
50,1447.38,1941.38,2371.01,1455.82,2012.72,2574.94,0.583122608,3.674705622,8.600975955
50,1366.29,1881.4,2313.01,1370.79,1946.25,2525.76,0.329359067,3.446901244,9.197971474
50,1394.88,1924.85,2347.05,1395.43,1997.92,2600.3,0.039429915,3.796139959,10.79014082
50,1460.61,1963.66,2386.5,1473.62,2050.12,2637.3,0.890723739,4.403002556,10.50911376
50,1432.89,1955.04,2317.52,1436.01,2017.13,2590.1,0.217741767,3.175894099,11.76171079
50,1459.17,1972.5,2394.41,1457.71,2048.87,2643.9,0.100056882,3.871736375,10.41968585
50,1425.42,1957.83,2394.77,1429.72,2016.01,2605.75,0.301665474,2.971657396,8.810031861
50,1419.28,1932.81,2377.8,1428.66,1987.58,2536.38,0.660898484,2.833698087,6.669190008
50,1434.24,1937.78,2343.31,1442.62,2013.8,2592.11,0.584281571,3.92304596,10.61745992
75,2063.82,2850.48,3417.09,2068.19,2994.73,3925.22,0.211743272,5.060551205,14.8702551
75,2046.04,2829.44,3420.25,2065.69,2983.4,3891,0.960391781,5.441359421,13.76361377
75,2101.17,2868.53,3506.52,2117.13,3013.35,3921.25,0.759576807,5.048578889,11.82739582
75,2014.16,2804.82,3406.71,2023.65,2948.28,3862.59,0.471164158,5.114766723,13.38182587
75,2008.74,2782.26,3389.21,2020.2,2922.99,3828.5,0.570506885,5.05811822,12.96142759
75,2036.53,2770.43,3335.32,2062.1,2920.35,3767.98,1.255567068,5.411434326,12.97206865
75,2053.99,2826.75,3428.92,2067.76,2950.82,3846.28,0.670402485,4.389139471,12.17176254
75,2038.22,2886.91,3487.32,2049.93,3019.05,3979.57,0.574520905,4.577212314,14.11542388
75,1988.08,2813.24,3421.49,1991.07,2903.81,3822.4,0.150396362,3.219419602,11.71740967
75,1997.4,2802.87,3463.93,2016.71,2954.7,3896.88,0.966756784,5.416947629,12.49880916
100,2625.74,3751.63,4583.37,2652.72,4015.06,5356.65,1.027519861,7.02174788,16.87142866
100,2618.78,3726.98,4539.01,2653.88,3969.34,5277.33,1.340318774,6.502852175,16.26610208
100,2624.61,3726.66,4519.27,2647.25,3919.63,5188.37,0.862604349,5.178095131,14.8054885
100,2553.78,3644.13,4421.13,2565.84,3810.05,5056.53,0.472241148,4.553075768,14.37189135
100,2596.34,3692.53,4517.53,2610.05,3819.47,5011.85,0.528051026,3.437751352,10.9422627
100,2595.7,3684.59,4557.89,2622.77,3865.11,5093.9,1.042878607,4.899323941,11.76004686
100,2605.18,3672.09,4503.7,2626.86,3873.46,5131.86,0.832188179,5.483798055,13.94764305
100,2600.08,3694.95,4518.83,2618.22,3846.61,5056.99,0.697670841,4.104521035,11.9092774
100,2577.12,3650.51,4492,2605.8,3892.56,5186.51,1.112870181,6.630580385,15.46104185
100,2605.13,3671.11,4463.15,2626.96,3855.22,5067.94,0.837962021,5.015104423,13.55074331
