t,s20-mean-lb,s20-ep-lb,s20-mean-ub,s20-ep-ub,s20-opt,s40-mean-lb,s40-ep-lb,s40-mean-ub,s40-ep-ub,s40-opt,s60-mean-lb,s60-ep-lb,s60-mean-ub,s60-ep-ub,s60-opt,s80-mean-lb,s80-ep-lb,s80-mean-ub,s80-ep-ub,s80-opt,s100-mean-lb,s100-ep-lb,s100-mean-ub,s100-ep-ub,s100-opt,lb-gap20,ub-gap20,lb-gap40,ub-gap40,lb-gap60,ub-gap60,lb-gap80,ub-gap80,lb-gap100,ub-gap100
25,990.742,13.3252,1004.31,5.22696,32.1175,990.79,7.98773,999.681,5.28947,22.1682,993.737,8.86052,997.037,7.12571,19.2867,996.288,5.03643,997.037,7.12571,12.9118,996.085,5.86901,993.731,7.68106,13.5501,1.344971748,0.520452848,0.806198084,0.529115788,0.891636318,0.714688622,0.505519488,0.714688622,0.589207748,0.772951634
25,990.675,13.613,996.541,6.35719,25.8362,987.401,10.3536,996.541,6.35719,25.851,987.156,8.39698,996.541,6.35719,24.1387,987.213,6.52822,996.541,6.35719,22.2134,986.529,4.97414,996.541,6.35719,21.3435,1.374113609,0.637925585,1.048570945,0.637925585,0.850623407,0.637925585,0.661277759,0.637925585,0.504206161,0.637925585
25,1048.01,11.6449,1063.31,6.98383,33.9237,1047.98,12.6488,1062.11,7.76241,34.5433,1049.2,8.68586,1062.11,6.66284,28.2557,1049.44,6.27606,1061.25,6.68511,24.7706,1053.01,6.18337,1065.95,6.10281,25.2322,1.111143978,0.656800933,1.206969599,0.730848029,0.827855509,0.627321087,0.598038954,0.629927915,0.587209048,0.572523101
25,1058.28,13.9115,1067.63,6.45608,29.7187,1060.27,7.89812,1067.63,6.45608,21.7139,1060.46,7.39737,1064.67,7.33733,18.9474,1063.26,5.93272,1066.83,6.83361,16.3344,1063.51,5.60056,1064.67,7.33733,14.0979,1.314538685,0.60471137,0.744915918,0.60471137,0.697562379,0.689164718,0.557974531,0.640552853,0.526610939,0.689164718
25,978.344,8.2854,988.213,5.58209,23.7371,982.996,6.63248,988.213,5.58209,17.4322,981.585,6.09635,983.694,6.51716,14.7231,981.713,5.96211,988.213,5.58209,18.0451,981.716,3.5922,984.698,6.61109,13.1853,0.846880034,0.564867088,0.674720955,0.564867088,0.621072042,0.662519035,0.607317006,0.564867088,0.365910304,0.671382495
25,1015.72,12.7786,1030.29,4.5511,31.8903,1015.4,8.0839,1027.23,4.51871,24.4354,1020.44,7.04413,1025.07,4.45295,16.122,1021.63,5.08744,1024.78,4.27325,12.5084,1023.41,5.36318,1024.78,4.27325,11.0063,1.258082936,0.441729998,0.796129604,0.439892721,0.690303203,0.43440448,0.497972847,0.41699194,0.52404999,0.41699194
25,1045.97,9.87771,1052.6,5.98072,22.488,1051.44,5.98318,1048.04,6.46269,12.4459,1050.38,5.97145,1056.35,6.77045,18.7109,1050.38,4.19082,1050.41,6.65184,10.8779,1050.22,4.01231,1050.41,6.65184,10.8517,0.944358825,0.568185446,0.56904626,0.616645357,0.56850378,0.640928669,0.398981321,0.633261298,0.382044714,0.633261298
25,1032.22,7.61032,1050.31,6.03759,31.7393,1030.38,6.59352,1042.83,6.35077,25.4013,1030.45,4.87838,1039.23,7.10464,20.7617,1032.98,3.3591,1039.23,7.10464,16.7122,1035.76,5.49728,1041.17,6.64708,17.5524,0.737276937,0.574838857,0.639911489,0.608993796,0.473422291,0.683644621,0.325185386,0.683644621,0.530748436,0.638424081
25,1011.38,8.83532,1011.47,2.71386,11.633,1012.8,8.067,1007.9,3.15468,11.2217,1013.4,5.36645,1007.9,3.15468,8.52113,1012.92,4.78607,1007.9,3.15468,7.94076,1011.64,3.7886,1007.9,3.15468,6.94328,0.87359054,0.268308501,0.796504739,0.312995337,0.529549043,0.312995337,0.472502271,0.312995337,0.374500811,0.312995337
25,1019.04,9.63531,1033.94,4.11285,28.6407,1022.17,8.4863,1032.68,4.52534,23.5281,1022.48,5.66796,1028.6,3.74411,15.5302,1021.1,3.82449,1026.12,4.96397,13.808,1020.41,3.59775,1028.6,3.74411,15.527,0.945528144,0.397784204,0.830223935,0.438213193,0.554334559,0.364000583,0.374546078,0.483761159,0.352578865,0.364000583
